date,state,cases
02/26/2020,Arizona,1
02/26/2020,California,26
02/26/2020,Illinois,2
02/26/2020,Massachusetts,1
02/26/2020,Nebraska,13
02/26/2020,Texas,10
02/26/2020,Utah,1
02/26/2020,Washington,5
02/26/2020,Wisconsin,1
02/27/2020,Arizona,1
02/27/2020,California,26
02/27/2020,Illinois,2
02/27/2020,Massachusetts,1
02/27/2020,Nebraska,13
02/27/2020,Texas,10
02/27/2020,Utah,1
02/27/2020,Washington,5
02/27/2020,Wisconsin,1
02/28/2020,Arizona,1
02/28/2020,California,27
02/28/2020,Illinois,2
02/28/2020,Massachusetts,1
02/28/2020,Nebraska,13
02/28/2020,Oregon,1
02/28/2020,Texas,11
02/28/2020,Utah,1
02/28/2020,Washington,7
02/28/2020,Wisconsin,1
02/29/2020,Arizona,1
02/29/2020,California,28
02/29/2020,Illinois,3
02/29/2020,Massachusetts,1
02/29/2020,Nebraska,13
02/29/2020,Oregon,1
02/29/2020,Texas,11
02/29/2020,Utah,1
02/29/2020,Washington,10
02/29/2020,Wisconsin,1
03/01/2020,Arizona,1
03/01/2020,California,33
03/01/2020,Florida,2
03/01/2020,Illinois,3
03/01/2020,Massachusetts,1
03/01/2020,Nebraska,13
03/01/2020,New York,1
03/01/2020,Oregon,2
03/01/2020,Rhode Island,2
03/01/2020,Texas,11
03/01/2020,Utah,1
03/01/2020,Washington,17
03/01/2020,Wisconsin,1
03/02/2020,Arizona,1
03/02/2020,California,38
03/02/2020,Florida,2
03/02/2020,Georgia,2
03/02/2020,Illinois,4
03/02/2020,Massachusetts,2
03/02/2020,Nebraska,13
03/02/2020,New Hampshire,1
03/02/2020,New York,1
03/02/2020,Oregon,2
03/02/2020,Rhode Island,2
03/02/2020,Texas,11
03/02/2020,Utah,1
03/02/2020,Washington,23
03/02/2020,Wisconsin,1
03/03/2020,Arizona,2
03/03/2020,California,45
03/03/2020,Florida,3
03/03/2020,Georgia,2
03/03/2020,Illinois,4
03/03/2020,Massachusetts,2
03/03/2020,Nebraska,13
03/03/2020,New Hampshire,2
03/03/2020,New York,2
03/03/2020,North Carolina,1
03/03/2020,Oregon,2
03/03/2020,Rhode Island,2
03/03/2020,Texas,11
03/03/2020,Utah,1
03/03/2020,Washington,32
03/03/2020,Wisconsin,1
03/04/2020,Arizona,2
03/04/2020,California,55
03/04/2020,Florida,3
03/04/2020,Georgia,2
03/04/2020,Illinois,4
03/04/2020,Massachusetts,2
03/04/2020,Nebraska,13
03/04/2020,New Hampshire,2
03/04/2020,New Jersey,1
03/04/2020,New York,11
03/04/2020,North Carolina,1
03/04/2020,Oregon,2
03/04/2020,Rhode Island,2
03/04/2020,Texas,12
03/04/2020,Utah,1
03/04/2020,Washington,47
03/04/2020,Wisconsin,1
03/05/2020,Arizona,2
03/05/2020,California,67
03/05/2020,Colorado,2
03/05/2020,Florida,4
03/05/2020,Georgia,2
03/05/2020,Illinois,5
03/05/2020,Maryland,3
03/05/2020,Massachusetts,3
03/05/2020,Nebraska,13
03/05/2020,Nevada,2
03/05/2020,New Hampshire,2
03/05/2020,New Jersey,2
03/05/2020,New York,22
03/05/2020,North Carolina,1
03/05/2020,Oregon,2
03/05/2020,Rhode Island,2
03/05/2020,Tennessee,1
03/05/2020,Texas,16
03/05/2020,Utah,1
03/05/2020,Washington,75
03/05/2020,Wisconsin,1
03/06/2020,Arizona,3
03/06/2020,California,81
03/06/2020,Colorado,8
03/06/2020,Florida,7
03/06/2020,Georgia,3
03/06/2020,Hawaii,1
03/06/2020,Illinois,6
03/06/2020,Indiana,1
03/06/2020,Kentucky,1
03/06/2020,Maryland,3
03/06/2020,Massachusetts,8
03/06/2020,Minnesota,1
03/06/2020,Nebraska,14
03/06/2020,Nevada,2
03/06/2020,New Hampshire,2
03/06/2020,New Jersey,4
03/06/2020,New York,44
03/06/2020,North Carolina,2
03/06/2020,Oklahoma,1
03/06/2020,Oregon,2
03/06/2020,Pennsylvania,2
03/06/2020,Rhode Island,3
03/06/2020,South Carolina,2
03/06/2020,Tennessee,1
03/06/2020,Texas,19
03/06/2020,Utah,3
03/06/2020,Washington,86
03/06/2020,Wisconsin,1
03/07/2020,Arizona,5
03/07/2020,California,100
03/07/2020,Colorado,8
03/07/2020,District of Columbia,1
03/07/2020,Florida,12
03/07/2020,Georgia,7
03/07/2020,Hawaii,1
03/07/2020,Illinois,6
03/07/2020,Indiana,1
03/07/2020,Kansas,1
03/07/2020,Kentucky,1
03/07/2020,Maryland,3
03/07/2020,Massachusetts,13
03/07/2020,Minnesota,1
03/07/2020,Missouri,1
03/07/2020,Nebraska,14
03/07/2020,Nevada,2
03/07/2020,New Hampshire,4
03/07/2020,New Jersey,4
03/07/2020,New York,89
03/07/2020,North Carolina,2
03/07/2020,Oklahoma,1
03/07/2020,Oregon,6
03/07/2020,Pennsylvania,4
03/07/2020,Rhode Island,3
03/07/2020,South Carolina,2
03/07/2020,Tennessee,1
03/07/2020,Texas,19
03/07/2020,Utah,3
03/07/2020,Vermont,1
03/07/2020,Virginia,1
03/07/2020,Washington,110
03/07/2020,Wisconsin,1
03/08/2020,Arizona,5
03/08/2020,California,112
03/08/2020,Colorado,8
03/08/2020,Connecticut,1
03/08/2020,District of Columbia,1
03/08/2020,Florida,13
03/08/2020,Georgia,11
03/08/2020,Hawaii,2
03/08/2020,Illinois,7
03/08/2020,Indiana,2
03/08/2020,Iowa,3
03/08/2020,Kansas,1
03/08/2020,Kentucky,4
03/08/2020,Maryland,5
03/08/2020,Massachusetts,28
03/08/2020,Minnesota,2
03/08/2020,Missouri,1
03/08/2020,Nebraska,16
03/08/2020,Nevada,4
03/08/2020,New Hampshire,4
03/08/2020,New Jersey,6
03/08/2020,New York,106
03/08/2020,North Carolina,2
03/08/2020,Oklahoma,1
03/08/2020,Oregon,13
03/08/2020,Pennsylvania,6
03/08/2020,Rhode Island,3
03/08/2020,South Carolina,6
03/08/2020,Tennessee,3
03/08/2020,Texas,23
03/08/2020,Utah,3
03/08/2020,Vermont,1
03/08/2020,Virginia,2
03/08/2020,Washington,141
03/08/2020,Wisconsin,1
03/09/2020,Arizona,6
03/09/2020,California,172
03/09/2020,Colorado,12
03/09/2020,Connecticut,2
03/09/2020,District of Columbia,4
03/09/2020,Florida,14
03/09/2020,Georgia,17
03/09/2020,Hawaii,2
03/09/2020,Illinois,11
03/09/2020,Indiana,4
03/09/2020,Iowa,8
03/09/2020,Kansas,1
03/09/2020,Kentucky,5
03/09/2020,Louisiana,1
03/09/2020,Maryland,6
03/09/2020,Massachusetts,41
03/09/2020,Minnesota,2
03/09/2020,Missouri,1
03/09/2020,Nebraska,16
03/09/2020,Nevada,4
03/09/2020,New Hampshire,4
03/09/2020,New Jersey,11
03/09/2020,New York,142
03/09/2020,North Carolina,7
03/09/2020,Ohio,3
03/09/2020,Oklahoma,1
03/09/2020,Oregon,13
03/09/2020,Pennsylvania,10
03/09/2020,Rhode Island,3
03/09/2020,South Carolina,7
03/09/2020,Tennessee,4
03/09/2020,Texas,24
03/09/2020,Utah,3
